OneHotColumnNames
Konum_Altındağ
Konum_Elmadağ
Konum_Etimesgut
Konum_Gölbaşı
Konum_Kahramankazan
Konum_Keçiören
Konum_Mamak
Konum_Polatlı
Konum_Pursaklar
Konum_Sincan
Konum_Yenimahalle
Konum_Çankaya
Konum_Çubuk
